🇨🇳| 央视,#genre#
中国国际教育3,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
中国国际教育4,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8
📡| 卫视,#genre#
湖南卫视,https://i.125011.xyz/migu.php?id=hunws
湖南卫视,http://36.129.204.120:880/DXHNWS.m3u8
湖南卫视,http://caiyehe.7766.org:9901/tsfile/live/1056_1.m3u8
湖南卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=hunan$r7d 8M FHD
东方卫视,https://live.125011.xyz/PLTV/shkk/231205/dfws/index.m3u8$r7d 官源 HD
东方卫视,https://i.125011.xyz/migu.php?id=dfws
东方卫视,https://i.125011.xyz/migu.php?id=dfws2
东方卫视,http://36.129.204.120:880/dx35.m3u8
东方卫视,http://13457610200.8866.org:2018/live/东方卫视高清/index.m3u8
东方卫视,http://13457610200.8866.org:2018/live/上海东方卫视/index.m3u8
东方卫视,http://caiyehe.7766.org:9901/tsfile/live/0107_1.m3u8
东方卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=dfws$r7d 8M FHD
江苏卫视,rtmp://live-hls.jstv.com/livezhuzhan/jsws?upt=974907582510710360
江苏卫视,https://i.125011.xyz/migu.php?id=jsws
江苏卫视,http://36.129.204.120:880/JSWS.m3u8
江苏卫视,http://13457610200.8866.org:2018/live/江苏卫视/index.m3u8
江苏卫视,http://13457610200.8866.org:2018/live/江苏卫视高清/index.m3u8
江苏卫视,http://caiyehe.7766.org:9901/tsfile/live/1124_1.m3u8
江苏卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=jsws$r7d 8M FHD
广东卫视,https://i.125011.xyz/migu.php?id=gdws
广东卫视,https://i.125011.xyz/migu.php?id=gdws2
广东卫视,http://36.129.204.120:880/CCN129.m3u8
广东卫视,http://13457610200.8866.org:2018/live/广东卫视高清/index.m3u8
广东卫视,http://caiyehe.7766.org:9901/tsfile/live/1059_1.m3u8
广东卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=gdws$r7d 8M FHD
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,https://i.125011.xyz/zsj.php?id=zjws
浙江卫视,http://36.129.204.120:880/DXZJWS.m3u8
浙江卫视,http://13457610200.8866.org:2018/live/浙江卫视HD/index.m3u8
浙江卫视,http://13457610200.8866.org:2018/live/浙江卫视高清/index.m3u8
浙江卫视,http://caiyehe.7766.org:9901/tsfile/live/1058_1.m3u8
浙江卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=zjws$r7d 8M FHD
北京卫视,http://36.129.204.120:880/DX15.m3u8
北京卫视,http://13457610200.8866.org:2018/live/北京卫视/index.m3u8
北京卫视,http://13457610200.8866.org:2018/live/北京卫视高清/index.m3u8
北京卫视,http://caiyehe.7766.org:9901/tsfile/live/1057_1.m3u8
北京卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=bjws$r7d 8M FHD
深圳卫视,http://36.129.204.120:880/DX16.m3u8
深圳卫视,http://13457610200.8866.org:2018/live/深圳卫视高清/index.m3u8
深圳卫视,http://caiyehe.7766.org:9901/tsfile/live/1023_1.m3u8
深圳卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=szws$r7d 8M FHD
天津卫视,http://36.129.204.120:880/DXTJWS.m3u8
